role,description,required_skills
Brickmasons and Blockmasons,"Lay and bind building materials, such as brick, structural tile, concrete block, cinder block, glass block, and terra-cotta block, with mortar and other substances, to construct or repair walls, partitions, arches, sewers, and other structures.","CPR Visual Estimator, Construction Management Software ProEst, Daystar iStructural.com, Estimating software, Intuit QuickBooks, Microsoft Excel, Microsoft Office software, Microsoft Windows, RISA Technologies RISA-3D, Tradesman's Software Master Estimator"
Stonemasons,"Build stone structures, such as piers, walls, and abutments. Lay walks, curbstones, or special types of masonry for vats, tanks, and floors.","CPR Visual Estimator, Citrix cloud computing software, Critical Thinking, Gregg Software Gregg Rock-It, Intuit QuickBooks, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Word, ProEst Software ProEst Estimating, RISA Technologies RISA-3D, SAP software, Tradesman&apos;s Software Master Estimator, Virtual private networking VPN software"
Carpenters,"Construct, erect, install, or repair structures and fixtures made of wood and comparable materials, such as concrete forms; building frameworks, including partitions, joists, studding, and rafters; and wood stairways, window and door frames, and hardwood floors. May also install cabinets, siding, drywall, and batt or roll insulation. Includes brattice builders who build doors or brattices (ventilation walls or partitions) in underground passageways.","Bosch Punch List, Craftsman CD Estimator, Drawing and drafting software, Estimating software, Intuit QuickBooks, Job costing software, Microsoft Excel, Microsoft Office software, Microsoft Windows, Microsoft Word, Quicken, Renaissance MasterCarpenter, Turtle Creek Software Goldenseal, VirtualBoss, Web browser software, Wilhelm Publishing Threshold"
Carpet Installers,Lay and install carpet from rolls or blocks on floors. Install padding and trim flooring materials.,"Autodesk AutoCAD, Aya Associates Comp-U-Floor, Carpet Dealer Management System CDMS, FIRST Flooring, FloorCOST Estimator for Excel, Flooring Technologies QFloors, Focus Floor Covering Software, Measure Square FloorEstimate Pro, Microsoft Excel, Microsoft Office software, Microsoft Word, Pacific Solutions FloorRight, RFMS Schedule Pro, Textile Management Systems RollMaster, eTakeoff"
"Floor Layers, Except Carpet, Wood, and Hard Tiles","Apply blocks, strips, or sheets of shock-absorbing, sound-deadening, or decorative coverings to floors.","Aya Associates Comp-U-Floor, CPR Software FloorCOST Estimator for Excel, Facebook, Flooring Technologies QFloors, Focus Floor Covering Software, Measure Square FloorEstimate Pro, Microsoft Office software, On Center On-Screen Takeoff, Pacific Solutions FloorRight, Project visualization software, Radio frequency identification RFID software, Textile Management Systems RollMaster, Web browser software"
Floor Sanders and Finishers,"Scrape and sand wooden floors to smooth surfaces using floor scraper and floor sanding machine, and apply coats of finish.","Floor planning software, FloorCOST Estimator for Excel, Flooring Technologies QFloors, Measure Square, Microsoft Excel, Pacific Solutions FloorRight, Vimeo"
Tile and Stone Setters,"Apply hard tile, stone, and comparable materials to walls, floors, ceilings, countertops, and roof decks.","Aya Associates Comp-U-Floor, EasyCAD Iris 2D, Measure Square FloorEstimate Pro, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Salesforce software, TileGem"
Cement Masons and Concrete Finishers,"Smooth and finish surfaces of poured concrete, such as floors, walks, sidewalks, roads, or curbs using a variety of hand and power tools. Align forms for sidewalks, curbs, or gutters; patch voids; and use saws to cut expansion joints.","ACT Contractors Forms, ADAPT-Modeler, HIPERPAV, Hard Dollar HD Project Estimating, LogicSphere Firstmix, Maxwell Systems Quest Estimator, National Concrete & Masonry Estimator, Shilstone seeMIX, Sirus GT Construction Accounting, Tradesman's Software Master Estimator"
Terrazzo Workers and Finishers,"Apply a mixture of cement, sand, pigment, or marble chips to floors, stairways, and cabinet fixtures to fashion durable and decorative surfaces.","CPR International GeneralCOST Estimator, CPR Visual Estimator, Construction Management Software ProEst, Intuit QuickBooks, Microsoft Excel, Microsoft Windows, On Center Quick Bid, Sapro Systems Paymee"
Construction Laborers,"Perform tasks involving physical labor at construction sites. May operate hand and power tools of all types: air hammers, earth tampers, cement mixers, small mechanical hoists, surveying and measuring equipment, and a variety of other equipment and instruments. May clean and prepare sites, dig trenches, set braces to support the sides of excavations, erect scaffolding, and clean up rubble, debris, and other waste materials. May assist other craft workers.","Autodesk Revit, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Windows, Microsoft Word, Oracle Primavera Enterprise Project Portfolio Management"
"Paving, Surfacing, and Tamping Equipment Operators","Operate equipment used for applying concrete, asphalt, or other materials to road beds, parking lots, or airport runways and taxiways or for tamping gravel, dirt, or other materials. Includes concrete and asphalt paving machine operators, form tampers, tamping machine operators, and stone spreader operators.","Autodesk AutoCAD Civil 3D, Database software, Email software, HCSS HeavyBid, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Operations Monitoring, Time report software, Warehouse management system WMS"
Pile Driver Operators,"Operate pile drivers mounted on skids, barges, crawler treads, or locomotive cranes to drive pilings for retaining walls, bulkheads, and foundations of structures such as buildings, bridges, and piers.","Email software, GRL Engineers Wave Equation Analysis Program GRLWEAP, Global positioning system GPS software, Microsoft Excel, Operation and Control, Operations Monitoring, Pile Dynamics Case Pile Wave Analysis Program CAPWAP, Pile Dynamics Pile Driving Analyzer PDA"
Operating Engineers and Other Construction Equipment Operators,"Operate one or several types of power construction equipment, such as motor graders, bulldozers, scrapers, compressors, pumps, derricks, shovels, tractors, or front-end loaders to excavate, move, and grade earth, erect structures, or pour concrete or other hard surface pavement. May repair and maintain equipment in addition to other duties.","Maintenance record software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Windows, Operation and Control, Work record software"
Drywall and Ceiling Tile Installers,"Apply plasterboard or other wallboard to ceilings or interior walls of buildings. Apply or mount acoustical tiles or blocks, strips, or sheets of shock-absorbing materials to ceilings and walls of buildings to reduce or reflect sound. Materials may be of decorative quality. Includes lathers who fasten wooden, metal, or rockboard lath to walls, ceilings, or partitions of buildings to provide support base for plaster, fireproofing, or acoustical material.","Business management software, Construction Software Center EasyEst, DevWave Estimate Works, Job costing software, Logic Group Scanner Digitizing Software, Microsoft Office software, Microsoft Windows, Microsoft Word, On Center Quick Bid, Turtle Creek Software Goldenseal, Wilhelm Publishing Threshold"
Tapers,Seal joints between plasterboard or other wallboard to prepare wall surface for painting or papering.,"Applied Computer Systems JOBPOWER, Construction Software Center EasyEst, DevWave Estimate Works, Intuit QuickBooks, Microsoft Dynamics, Microsoft Office software, On Center Quick Bid, Turtle Creek Software Goldenseal"
Electricians,"Install, maintain, and repair electrical wiring, equipment, and fixtures. Ensure that work is in accordance with relevant codes. May install or service street lights, intercom systems, or electrical control systems.","AVEVA InTouch HMI, Adobe Acrobat, Autodesk AutoCAD, Construction Master Pro, Craftsman CD Estimator, Database software, Electrosoft FlashWorks, Elite Software E-Coord, Elite Software Inpoint, Elite Software Outpoint, Elite Software Short, Elite Software VDROP, Insight Direct ServiceCEO, Lighting calculation software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Windows, Microsoft Word, One Mile Up Panel Planner, Programmable logic controller PLC software, Repairing, Resolve Systems Service Management, SAP software, Sage 300 Construction and Real Estate, Shafer Service Systems, Troubleshooting"
Glaziers,"Install glass in windows, skylights, store fronts, and display cases, or on surfaces, such as building fronts, interior walls, ceilings, and tabletops.","American Glazing Software AGS WindowPricer, BidMaster, D-CALC FACADE 4000, Microsoft Excel, Microsoft Office software, Microsoft Windows, Work order software"
"Insulation Workers, Floor, Ceiling, and Wall","Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials.","CMSN FieldPAK, Comput-Ability Mechanical Insulation Key Estimator, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Windows, North American Insulation Manufacturers Association NAIMA 3E Plus, Turtle Creek Software Goldenseal"
"Insulation Workers, Mechanical","Apply insulating materials to pipes or ductwork, or other mechanical systems in order to help control and maintain temperature.","CMSN FieldPAK, Comput-Ability Mechanical Insulation Key Estimator, IBM Maximo Asset Management, North American Insulation Manufacturers Association NAIMA 3E Plus, Turtle Creek Software Goldenseal"
"Painters, Construction and Maintenance","Paint walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. May remove old paint to prepare surface prior to painting. May mix colors or oils to obtain desired color or consistency.","Act!, Corel Paint Shop Pro, Corel Painter, Evergreen Technology Eagle Bid Estimating, Evergreen Technology Total Faux, Insight Direct ServiceCEO, Microsoft Excel, Microsoft Office software, Microsoft Windows, Microsoft Word, On Center Quick Bid, Turtle Creek Software Goldenseal"
Paperhangers,"Cover interior walls or ceilings of rooms with decorative wallpaper or fabric, or attach advertising posters on surfaces such as walls and billboards. May remove old materials or prepare surfaces to be papered.","A-Systems JobView, Construction Software Center EasyEst, Corel Painter, Electronic data interchange EDI software, Google Docs, Microsoft Excel, Microsoft Word, On Center Quick Bid, PlanSwift, Turtle Creek Software Goldenseal"
Pipelayers,"Lay pipe for storm or sanitation sewers, drains, and water mains. Perform any combination of the following tasks: grade trenches or culverts, position pipe, or seal joints.","Microsoft Excel, Microsoft Office software"
"Plumbers, Pipefitters, and Steamfitters","Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinkler fitters.","AEC Design Group CADPIPE, Atlas Construction Business Forms, Autodesk Building Systems, Bentley Systems AutoPIPE, Bookkeeping software, COADE CAESAR II, Critical Thinking, Database software, Drawing and drafting software, Elite Software DPIPE, Elite Software FIRE, Elite Software HSYM, Elite Software Plumbing CAD, Elite Software Spipe, Elite Software Sprinkler CAD, Email software, Estimating software, FastEST FastPipe, FastEST software, Heat loss calculation software, Horizon Engineering Sigma Plumbing Calculator, Intuit QuickBooks, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Word"
Solar Thermal Installers and Technicians,"Install or repair solar energy systems designed to collect, store, and circulate solar-heated water for residential, commercial or industrial use.","1CadCam Unigraphics, Adobe Photoshop, Autodesk AutoCAD, Computer-aided drafting or design software, Cost estimating software, Dassault Systemes CATIA, Dassault Systemes SolidWorks, Installation, Inventory control system software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Visual Basic for Applications VBA, Microsoft Word, National Instruments LabVIEW, Oracle Java, PTC Pro/ENGINEER Wildfire, Salesforce software, Work scheduling software"
Plasterers and Stucco Masons,"Apply interior or exterior plaster, cement, stucco, or similar materials. May also set ornamental plaster.","A-Systems JobView, Autodesk 3ds Max Design, Autodesk Maya, Construction Software Center EasyEst, Corel Paint Shop Pro, Corel Painter, Cost estimating software, Dassault Systemes CATIA, Embedded systems development software, IBM Maximo Asset Management, Linux, Microsoft Excel, Microsoft Office software, Microsoft Word, Oracle Database, Sage Construction Anywhere, Salesforce software, Turtle Creek Software Goldenseal"
Reinforcing Iron and Rebar Workers,"Position and secure steel bars or mesh in concrete forms in order to reinforce concrete. Use a variety of fasteners, rod-bending machines, blowtorches, and hand tools. Includes rod busters.","Application Software SHEAR, Applied Systems Associates aSa Rebar, OTP ArmaCAD, RebarWin"
Roofers,"Cover roofs of structures with shingles, slate, asphalt, aluminum, wood, or related materials. May spray roofs, sidings, and walls with material to bind, seal, insulate, or soundproof sections of structures.","ASR Software LWC-Plus, ASR Software Taper-Plus, ASR Software TopView LE, ASR Software TopView ME, AppliCad Roof Wizard, CADAFIS, Coordination, DigiTools Roof CAD, Energy cost evaluation software, Exele TopView, Humidity and vapor drive calculation software, Insight Direct ServiceCEO, Maintenance record software, Microsoft Excel, Microsoft Office software, Microsoft Windows, Microsoft Word, Roof Pro Estimate Software Roof Pro, RoofLogic, Roofing Calculator, Wintac Pro, Ziatek RoofDraw"
Sheet Metal Workers,"Fabricate, assemble, install, and repair sheet metal products and equipment, such as ducts, control boxes, drainpipes, and furnace casings. Work may involve any of the following: setting up and operating fabricating machines to cut, bend, and straighten sheet metal; shaping metal over anvils, blocks, or forms using hammer; operating soldering and welding equipment to join sheet metal parts; or inspecting, assembling, and smoothing seams and joints of burred surfaces. Includes sheet metal duct installers who install prefabricated sheet metal ducts used for heating, air conditioning, or other purposes.","Applied Production ProFab, Applied Production ProFold, Autodesk AutoCAD, Corte Certo, FCC Software AutoPOL Series, JETCAM Expert, Merry Mechanization SMP/IS, Microsoft Excel, Microsoft Office software, Microsoft Windows, Microsoft Word, PTC Creo Parametric, QuickPen DuctDesigner 3D, Revcad Software Sheet Lightning, Siemens NX, Striker Systems SS-Profile, WiCAM PN4000, XY Soft Sheet Cutting Suite"
Structural Iron and Steel Workers,"Raise, place, and unite iron or steel girders, columns, and other structural members to form completed structures or structural frameworks. May erect metal storage tanks and assemble prefabricated metal buildings.","Coordination, Cost estimating software, Inventory tracking software, Microsoft Outlook, Operation and Control, Operations Monitoring, Project scheduling software, Turtle Creek Software Goldenseal"
Solar Photovoltaic Installers,"Assemble, install, or maintain solar photovoltaic (PV) systems on roofs or other structures in compliance with site assessment and schematics. May include measuring, cutting, assembling, and bolting structural framing and solar modules. May perform minor electrical work such as current checks.","Cost estimating software, Extensible markup language XML, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Salesforce software, Work scheduling software"
"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","Help brickmasons, blockmasons, stonemasons, or tile and marble setters by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.","Autodesk Revit, Aya Associates Comp-U-Floor, CPR Visual Estimator, Computer aided design and drafting CADD software, Construction Management Software ProEst, Daystar iStructural.com, EasyCAD Iris 2D, Intuit QuickBooks, Measure Square FloorEstimate Pro, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Visio, Microsoft Word, RISA Technologies RISAMasonry, TileGem, Tradesman's Software Master Estimator"
Helpers--Carpenters,"Help carpenters by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.","Bosch Punch List, Cost estimating software, Craftsman CD Estimator, Drawing and drafting software, Intuit QuickBooks, Job costing software, Linux, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Windows, Microsoft Word, Oracle Database, Quicken, SAP software, Salesforce software, Turtle Creek Software Goldenseal, UNIX"
Helpers--Electricians,"Help electricians by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.","Computer-aided drafting or design software, Microsoft Excel, Microsoft Office software, Recordkeeping software, Report generation software"
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","Help painters, paperhangers, plasterers, or stucco masons by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.","A-Systems JobView, Apple iWork, Construction Software Center EasyEst, Cost estimating software, Evergreen Technology Eagle Bid Estimating, Microsoft Excel, Microsoft Office software, On Center Quick Bid, Sage Construction Anywhere, Turtle Creek Software Goldenseal"
"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","Help plumbers, pipefitters, steamfitters, or pipelayers by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.","Microsoft Excel, Microsoft Office software, Microsoft Word"
Helpers--Roofers,"Help roofers by performing duties requiring less skill. Duties include using, supplying, or holding materials or tools, and cleaning work area and equipment.","AppliCad Roof Wizard, DigiTools Roof CAD, Energy cost evaluation software, Exele TopView, Humidity and vapor drive calculation software, Insight Direct ServiceCEO, Maintenance record software, Roof Pro Estimate Software Roof Pro, RoofLogic, Roofing Calculator, Wintac Pro, Ziatek RoofDraw"
"Helpers, Construction Trades, All Other",All construction trades helpers not listed separately.,
Construction and Building Inspectors,"Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing.","Active Listening, Arc Second PocketCAD, Autodesk AutoCAD, Automated permit system software, Critical Thinking, Database software, ESRI ArcView, Email software, Inspection Depot Home Guide System, Intuit QuickBooks, Microsoft Excel, Microsoft Exchange, Microsoft Internet Explorer, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Mobile building inspection software, Municipal geographic management software, New construction inspection form software, NorthWest Builders Network Plan Analyst, OptaSoft Commercial Building Inspector, Oracle Primavera Enterprise Project Portfolio Management, Oracle Primavera Systems, Quicken, Reading Comprehension, SAP software, Speaking"
Energy Auditors,"Conduct energy audits of buildings, building systems, or process systems. May also conduct investment grade audits of buildings or systems.","ACCA Manual J, Abraxas Energy Consulting Metrix, Active Listening, Adobe Photoshop, Architectural Energy Corporation ENFORMA Building Diagnostics, Autodesk AutoCAD, C++, Critical Thinking, IBM SPSS Statistics, Judgment and Decision Making, Linux, Microsoft .NET Framework, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Visual Basic, Microsoft Word, Python, R, Reading Comprehension, SAP software, SAS, Salesforce software, Speaking, Structured query language SQL, The MathWorks MATLAB, UNIX, Writing"
Elevator and Escalator Installers and Repairers,"Assemble, install, repair, or maintain electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters.","Computerized maintenance management system CMMS, Critical Thinking, Elevator Controls INTERACT, Equipment Maintenance, Installation, Microsoft Excel, Microsoft Outlook, Microsoft Word, Operations Monitoring, Quality Control Analysis, Repairing, Scheduling software, Troubleshooting, Troubleshooting software, WORLD Electronics Freedomware"
Fence Erectors,"Erect and repair fences and fence gates, using hand and power tools.","Autodesk AutoCAD, Cutlist Plus fx, Facebook, Maxwell Systems American Contractor, Microsoft Excel, Software Design Associates Computer Fencing System CFS"
Hazardous Materials Removal Workers,"Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil. Specialized training and certification in hazardous materials handling or a confined entry permit are generally required. May operate earth-moving equipment or trucks.","Computerized maintenance management system software CMMS, Critical Thinking, Database software, Inventory management systems, Jenkins CI, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, SAP software, Xactware Xactimate"
Highway Maintenance Workers,"Maintain highways, municipal and rural roads, airport runways, and rights-of-way. Duties include patching broken or eroded pavement and repairing guard rails, highway markers, and snow fences. May also mow or clear brush from along road, or plow snow from roadway.","Database software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Operation and Control, Operations Monitoring, Web browser software"
Rail-Track Laying and Maintenance Equipment Operators,"Lay, repair, and maintain track for standard or narrow-gauge railroad equipment used in regular railroad service or in plant yards, quarries, sand and gravel pits, and mines. Includes ballast cleaning machine operators and railroad bed tamping machine operators.","Microsoft Excel, Microsoft Office software, Operation and Control, Operations Monitoring, Timekeeping software"
Septic Tank Servicers and Sewer Pipe Cleaners,"Clean and repair septic tanks, sewer lines, or drains. May patch walls and partitions of tank, replace damaged drain tile, or repair breaks in underground piping.","Intuit QuickBooks, Microsoft Excel, Microsoft Word, Operation and Control, Operations Monitoring, Route mapping software, Web browser software, Work scheduling software"
Segmental Pavers,"Lay out, cut, and place segmental paving units. Includes installers of bedding and restraining materials for the paving units.","Active Listening, Database software, Decorative Software Online Visualizers, Depiction Software Deco-Con, Depiction Software Deco-Con Estimator, Depiction Software Hardscape Imaging, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Speaking, UNI-GROUP Lockpave Pro, Web browser software"
"Construction and Related Workers, All Other",All construction and related workers not listed separately.,
Weatherization Installers and Technicians,"Perform a variety of activities to weatherize homes and make them more energy efficient. Duties include repairing windows, insulating ducts, and performing heating, ventilating, and air-conditioning (HVAC) work. May perform energy audits and advise clients on energy conservation measures.","Database software, Energy auditing software, Energy use ratings databases, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Windows, Microsoft Word, SAP software, Salesforce.com Salesforce CRM, Web browser software, Work scheduling software"
"Derrick Operators, Oil and Gas",Rig derrick equipment and operate pumps to circulate mud or fluid through drill hole.,"Critical Thinking, Microsoft Excel, Microsoft Outlook, Microsoft Word, Operation and Control, Operations Monitoring"
"Rotary Drill Operators, Oil and Gas","Set up or operate a variety of drills to remove underground oil and gas, or remove core samples for testing during oil and gas exploration.","CAPSHER Technology SureTec, Critical Thinking, Drillingsoftware DrillPro, Drillingsoftware Tubular Database, Microsoft Excel, Microsoft Office software, Microsoft Word, Monitoring, Operation and Control, Operations Monitoring, Pason WellView Field Solution, Python, SAP software, Salesforce software, Schlumberger Petrel E&P, Structure query language SQL"
"Service Unit Operators, Oil and Gas","Operate equipment to increase oil flow from producing wells or to remove stuck pipe, casing, tools, or other obstructions from drilling wells. Includes fishing-tool technicians.","Computerized maintenance management system CMMS, Critical Thinking, Data logger software, Inventory tracking software, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft SharePoint, Microsoft Word, Monitoring, Operation and Control, Operations Monitoring, SAP software, Supervisory control and data acquisition SCADA software, Time and attendance software"
"Excavating and Loading Machine and Dragline Operators, Surface Mining","Operate or tend machinery at surface mining site, equipped with scoops, shovels, or buckets to excavate and load loose materials.","Email software, Google Gmail, Machine control systems, Machine monitoring software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Operation and Control, Operations Monitoring"
"Earth Drillers, Except Oil and Gas","Operate a variety of drills such as rotary, churn, and pneumatic to tap subsurface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction. Includes horizontal and earth boring machine operators.","Global positioning system GPS software, Microsoft Excel, Microsoft Office software, Microsoft Word, Operation and Control, Operations Monitoring"
"Explosives Workers, Ordnance Handling Experts, and Blasters","Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures.","Active Listening, Autodesk AutoCAD, Blaster's Tool and Supply Company Blaster's Calculator, Critical Thinking, Datavis DBS Designer, DetNet ViewShot, ESRI ArcGIS software, Global positioning system GPS software, Judgment and Decision Making, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Operation and Control, Operations Monitoring"
Continuous Mining Machine Operators,"Operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors, shuttle cars, or trucks in a continuous operation.","Fleet monitoring system software, Hitachi ZXLink, Leica Geosystems FMS, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Word, Minitab, Operation and Control, Operations Monitoring"
"Roof Bolters, Mining",Operate machinery to install roof support bolts in underground mine.,"Caterpillar Cat MineStar System, Caterpillar Command, Operation and Control"
"Loading and Moving Machine Operators, Underground Mining","Operate underground loading or moving machine to load or move coal, ore, or rock using shuttle or mine car or conveyors. Equipment may include power shovels, hoisting engines equipped with cable-drawn scraper or scoop, or machines equipped with gathering arms and conveyor.","Automated systems software, Inventory management systems, Maintenance management software, Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Mine maintenance software, Work time accounting software"
"Underground Mining Machine Operators, All Other",All underground mining machine operators not listed separately.,
"Rock Splitters, Quarry","Separate blocks of rough dimension stone from quarry mass using jackhammers, wedges, or chop saws.","Apache HTTP Server, Autodesk AutoCAD, Facebook, Maintenance reporting software, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Minitab, SAP software, Time reporting software"
"Roustabouts, Oil and Gas",Assemble or repair oil field equipment using hand and power tools. Perform other tasks as needed.,"Database management systems, Enertia, Inventory management systems, Maintenance record software, Maintenance software, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Windows XP, Microsoft Word, Purchasing software, SAP software, Telephony software, Token Ring"
Helpers--Extraction Workers,"Help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill. Duties include supplying equipment or cleaning work area.","Equipment Maintenance, Google Docs, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft Word, Monitoring, Operation and Control, Operations Monitoring"
"Extraction Workers, All Other",All extraction workers not listed separately.,
"First-Line Supervisors of Mechanics, Installers, and Repairers","Directly supervise and coordinate the activities of mechanics, installers, and repairers. May also advise customers on recommended services. Excludes team or work leaders.","Active Listening, Autodesk AutoCAD, Automated inventory software, ComputerEase construction accounting software, Computerized maintenance management system CMMS, Coordination, Cost accounting software, Critical Thinking, Database software, Email software, HCSS HeavyBid, HCSS HeavyJob, IBM Domino, IBM Notes, Infor ERP SyteLine, Judgment and Decision Making, Maintenance management software, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Windows, Microsoft Word, Monitoring, Oracle Primavera Enterprise Project Portfolio Management, Quality Control Analysis, Reading Comprehension, SAP software, Speaking, Time Management, Yardi software"
"Computer, Automated Teller, and Office Machine Repairers","Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines.","Active Listening, Adobe Acrobat, Call tracking software, Cisco Systems VPN Client, Critical Thinking, Database software, Debugging software, Email software, Extensible markup language XML, Extensible stylesheet language XSL, Hypertext markup language HTML, IBM Notes, IBM WebSphere, JavaScript, Linux, Microsoft Access, Microsoft Active Directory, Microsoft Active Server Pages ASP, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Repairing, ServiceNow, Structured query language SQL, UNIX"
"Radio, Cellular, and Tower Equipment Installers and Repairers","Repair, install, or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles. May test and analyze network coverage.","AERONET calculator, Backbone.js, Caliper Maptitude, Computerized maintenance management system CMMS, Location mapping software, Maintenance documentation software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Windows, Microsoft Word, Repairing, Sweep analysis software, Zoho WebNMS Cell Tower Manager"
"Telecommunications Equipment Installers and Repairers, Except Line Installers","Install, set up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings.","Active Listening, Apache Struts, Autodesk AutoCAD, Cisco IOS, Critical Thinking, Equipment Maintenance, Firewall software, Fluke ClearSight Analyzer, Fluke Networks Fluke TechEXPERT, Fluke Networks TechAdvisor Field Access System, Geographic information system GIS systems, IBM Domino, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Operations Monitoring, Quality Control Analysis, Repairing, Supervisory control and data acquisition SCADA software, Troubleshooting, Voice over internet protocol VoIP system software"
Avionics Technicians,"Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles.","Apache HTTP Server, Autodesk AutoCAD, Avionics system testing software, C++, Complex Problem Solving, Computer diagnostic software, Critical Thinking, Dassault Systemes CATIA, Equipment Maintenance, Linux, Maintenance record software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Operations Monitoring, Oracle Java, Quality Control Analysis, Repairing, SAP software, Software development tools, Technical Data Management System TDMS, Troubleshooting, UNIX, Workday software"
"Electric Motor, Power Tool, and Related Repairers","Repair, maintain, or install electric motors, wiring, or switches.","Autodesk AutoCAD, Commutator profiling software, Complex Problem Solving, Computerized maintenance management system CMMS, Critical Thinking, Equipment Maintenance, Equipment Selection, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Motor testing software, Operations Monitoring, Python, Quality Control Analysis, Repairing, SAP software, Troubleshooting"
